"authors","frequent_part_title","infrequent_part_title","title","uri","venue","year"
"john c. shafer , rakesh agrawal , manish mehta","data","classifier parallel mining scalable sprint","sprint : a scalable parallel classifier for data mining","dblp_a_15","vldb","1996"
"jeff pavel , luis gravano , aleksandr voskoboynik , eugene agichtein , viktoriya sokolova","system","collections large prototype relations text snowball extracting","snowball : a prototype system for extracting relations from large text collections","dblp_a_16","sigmod conference","2001"
"timothy griffin , richard hull","","hypothetical framework implementing queries","a framework for implementing hypothetical queries","dblp_a_17","sigmod conference","1997"
"raymond t. ng , timos k. sellis , yannis e. ioannidis , kyuseok shim","","optimization parametric query","parametric query optimization","dblp_a_18","vldb j.","1997"
"yingwei cui , jennifer widom","data","warehouse transformations lineage general tracing","lineage tracing for general data warehouse transformations","dblp_a_19","vldb","2001"
"joachim hammer","data","olap warehousing dolap acm workshop report international fourth","report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 )","dblp_a_20","sigmod record","2002"
"jittat fakcharoenphol , steve chien , ziv bar-yossef , alexander berg , dror weitz","","walks via queries approximating pages aggregate random web","approximating aggregate queries about web pages via random walks","dblp_a_21","vldb","2000"
"dan suciu , daniela florescu , alon y. levy , mary f. fernandez","system management","site language query web","a query language for a web-site management system","dblp_a_22","sigmod record","1997"
"elena ferrari , pierangela samarati , claudio bettini , elisa bertino","database","temporal authorizations control supporting reasoning periodic access","supporting periodic authorizations and temporal reasoning in database access control","dblp_a_23","vldb","1996"
"bin li , dennis shasha","data","parallel mining free","free parallel data mining","dblp_a_24","sigmod conference","1998"
"brian t. tran , jyh-herng chow , michelle jou , jean grandbois , yun wang , you-chin fuh , weidong chen , nelson mendonça mattos","","high types indexing level defined user","high level indexing of user-defined types","dblp_a_25","vldb","1999"
"philip a. bernstein","systems database","pc present future","pc database systems - present and future","dblp_a_26","vldb","1994"
"jeffrey f. naughton , qiong luo","based database","backed caching form sites proxy web","form-based proxy caching for database-backed web sites","dblp_a_27","vldb","2001"
"tova milo , serge abiteboul , sophie cluet","","view files structured logical","a logical view of structured files","dblp_a_28","vldb j.","1998"
"evaggelia pitoura , serge abiteboul , michalis vazirgiannis , dieter pfoser , george samaras","system","dbglobe oriented computing service global","dbglobe : a service-oriented p2p system for global computing","dblp_a_29","sigmod record","2003"
"reinhard braumandl , alfons kemper , donald kossmann","database","patchwork internet","database patchwork on the internet","dblp_a_30","sigmod conference","1999"
"yannis e. ioannidis , maria zemankova","databases","state art scientific directions future","scientific databases - state of the art and future directions","dblp_a_31","vldb","1994"
"bernhard seeger , peter widmayer , jochen van den bercken","","structures generic index multidimensional approach bulk loading","a generic approach to bulk loading multidimensional index structures","dblp_a_32","vldb","1997"
"jörg sander , jianjun zhou","data","hierarchical bubbles arbitrary metric vector speeding clustering spaces non","data bubbles for non-vector data : speeding-up hierarchical clustering in arbitrary metric spaces","dblp_a_33","vldb","2003"
"hector garcia-molina , wilburt labio","data","warehousing algorithms differential snapshot efficient","efficient snapshot differential algorithms for data warehousing","dblp_a_34","vldb","1996"
"roberta cochrane , hamid pirahesh , nelson mendonça mattos","database","sytems sql declarative triggers integrating constraints","integrating triggers and declarative constraints in sql database sytems","dblp_a_35","vldb","1996"
"yannis papakonstantinou , luis gravano , vagelis hristidis","databases","ir efficient style relational search keyword","efficient ir-style keyword search over relational databases","dblp_a_36","vldb","2003"
"simonas saltenis , christian s. jensen","data","indexing spatio bitemporal relative","indexing of now-relative spatio-bitemporal data","dblp_a_37","vldb j.","2002"
"curtis e. dyreson","information","granularity temporal incomplete coalescing","temporal coalescing with now , granularity , and incomplete information","dblp_a_38","sigmod conference","2003"
"sharma chakravarthy , y. alp aslandogan , ramez elmasri , leonidas fegaras , jung-hwan oh","database","arlington ut research","database research at ut arlington","dblp_a_39","sigmod record","2003"
"kevin strehlo , ralph kimball","","decision support fails fix","why decision support fails and how to fix it","dblp_a_40","sigmod record","1995"
"alexandros biliris , banu özden , abraham silberschatz , rajeev rastogi","databases","cost low storage movie server demand","a low-cost storage server for movie on demand databases","dblp_a_41","vldb","1994"
"theo härder , norbert ritter , udo nink","database","generating application interfaces advanced call level programming","generating call-level interfaces for advanced database application programming","dblp_a_42","vldb","1999"
"haixun wang , wei wang , philip s. yu , jiong yang","data","similarity clustering pattern large sets","clustering by pattern similarity in large data sets","dblp_a_43","sigmod conference","2002"
"manuel rodriguez-martinez , joseph jájá , john m. mcgann , nick roussopoulos , zhexuan song , stephen kelley , vadim katz","system database","application automatic specific functionality mocha deployment middleware featuring","mocha : a database middleware system featuring automatic deployment of application-specific functionality","dblp_a_44","sigmod conference","2000"
"zengping tian , hongjun lu , yanlei diao , songting chen","system based","processing fact query web learning","fact : a learning based web query processing system","dblp_a_45","sigmod conference","2000"
"jim melton , andrew eisenberg","","application packages multimedia sql mm","sql multimedia and application packages ( sql/mm )","dblp_a_46","sigmod record","2001"
"amit p. sheth","system information","x intranets managing harness bellcore internet adapt","bellcore 's adapt/x harness system for managing information on internet and intranets","dblp_a_47","vldb","1996"
"per-åke larson","management data systems","abstract go relational xml panel native spruce","xml data management go native or spruce up relational systems ? ( panel abstract )","dblp_a_48","sigmod conference","2001"
"surajit chaudhuri , umeshwar dayal","data","warehousing technology olap overview","an overview of data warehousing and olap technology","dblp_a_49","sigmod record","1997"
"steven berson , richard r. muntz , shahram ghandeharizadeh , xiangyu ju","information systems","multimedia staggered striping","staggered striping in multimedia information systems","dblp_a_50","sigmod conference","1994"
"mario gerla , kaixin xu","","scale networks swarms streaming large sensor multimedia mobile","multimedia streaming in large-scale sensor networks with mobile swarms","dblp_a_51","sigmod record","2003"
"hans-joachim klein","","order modify sql queries sure answers guarantee","how to modify sql queries in order to guarantee sure answers","dblp_a_52","sigmod record","1994"
"alain pirotte , esteban zimányi , tatiana yakusheva , david massart","","abstraction pattern powerful materialization ubiquitous","materialization : a powerful and ubiquitous abstraction pattern","dblp_a_53","vldb","1994"
"debra e. vandermeer , krithi ramamritham , helen m. thomas , anindya datta , kaushik dutta","","generation enable caching content acceleration scalable web solution page dynamic","dynamic content acceleration : a caching solution to enable scalable dynamic web page generation","dblp_a_54","sigmod conference","2001"
"martin bertram","data","large modelling","data modelling in the large","dblp_a_55","sigmod record","1994"
"daniel s. weld , zachary g. ives , igor tatarinov , alon y. halevy","","xml updating","updating xml","dblp_a_56","sigmod conference","2001"
"alan f. smeaton , mark roantree","information","managment dublin university city research","research in information managment at dublin city university","dblp_a_57","sigmod record","2002"
"andreas dehmel , peter baumann , norbert widmann , roland ritsch , paula furtado","system database","multidimensional rasdaman","the multidimensional database system rasdaman","dblp_a_58","sigmod conference","1998"
"anand sivasubramaniam , sudhanva gurumurthi , narayanan vijaykrishnan , ning an , mary jane irwin , mahmut t. kandemir","data","analyzing spatial memory methods energy resident behavior access","analyzing energy behavior of spatial access methods for memory-resident data","dblp_a_59","vldb","2001"
"goetz graefe","","value sql merge join server hash","the value of merge-join and hash-join in sql server","dblp_a_60","vldb","1999"
"andreas weininger","","star joins schema execution efficient","efficient execution of joins in a star schema","dblp_a_61","sigmod conference","2002"
"luc bouganim , patrick valduriez , philippe pucheral , christophe bobineau","database","smartcard techniques scaling picodmbs","picodmbs : scaling down database techniques for the smartcard","dblp_a_62","vldb","2000"
"divesh srivastava , olga kapitskaia , raymond t. ng , h. v. jagadish","","selectivity estimation multi substring dimensional","multi-dimensional substring selectivity estimation","dblp_a_63","vldb","1999"
"theo härder , joachim thomas , günter sauter","","structural approach heterogeneity problems intrinsic solution","the intrinsic problems of structural heterogeneity and an approach to their solution","dblp_a_64","vldb j.","1999"
"c. mohan","database","domino notes perspective lotus","a database perspective on lotus domino/notes","dblp_a_65","sigmod conference","1999"
"rafael camps","","religious relations domains wars","domains , relations and religious wars","dblp_a_66","sigmod record","1996"
"scott shenker","data","networking centric revolution","the data-centric revolution in networking","dblp_a_67","vldb","2003"
"phillip b. gibbons , srinivasan seshan , suman kumar nath , amol deshpande","databases","area sensor query wide cache","cache-and-query for wide area sensor databases","dblp_a_68","sigmod conference","2003"
"zhao-hui tang , jean-robert gruser , georges gardarin","databases","object oriented cost model clustered","a cost model for clustered object-oriented databases","dblp_a_69","vldb","1995"
"wilburt labio , jun yang , hector garcia-molina","data","warehouse expiring","expiring data in a warehouse","dblp_a_70","vldb","1998"
"xiaolei qian","management information","assurance opportunities","opportunities in information management and assurance","dblp_a_71","sigmod record","1997"
"andré eickler , alfons kemper , donald kossmann","data","finding neighborhood","finding data in the neighborhood","dblp_a_72","vldb","1997"
"yannis papakonstantinou , vagelis hristidis , nick koudas","system","multi execution ranked efficient queries prefer parametric","prefer : a system for the efficient execution of multi-parametric ranked queries","dblp_a_73","sigmod conference","2001"
"ling liu","","editor notes","editor 's notes","dblp_a_74","sigmod record","2002"
"mukesh mulchandani , elke a. rundensteiner , xin zhang , brian murphy , steffen christ","system","driven rainbow xquery processing mapping","rainbow : mapping-driven xquery processing system","dblp_a_75","sigmod conference","2002"
"carol small , alexandra poulovassilis","database","algebraic query languages optimisation programming","algebraic query optimisation for database programming languages","dblp_a_76","vldb j.","1996"
"alexander aiken , jennifer widom , joseph m. hellerstein","database","analysis predicting rules active techniques static behavior","static analysis techniques for predicting the behavior of active database rules","dblp_a_77","acm trans . database syst .","1995"
"babis theodoulidis , george karvelis , jayant chaudhary , aziz ait-braham , simon sou , george andrianopoulos","system management database","temporal ores","the ores temporal database management system","dblp_a_78","sigmod conference","1994"
"hamid pirahesh , inderpal singh mumick , raghu ramakrishnan , sheldon j. finkelstein","","magic conditions","magic conditions","dblp_a_79","acm trans . database syst .","1996"
"wolfgang klas , frank moser , achim kraiss","management data","buffer l strategy dbms interactive multimedia mrp flows continuous","l/mrp : a buffer management strategy for interactive continuous data flows in a multimedia dbms","dblp_a_80","vldb","1995"
"peter m. spiro","","tuning self scalable servers ubiquitous","ubiquitous , self-tuning , scalable servers","dblp_a_81","sigmod conference","1998"
"sunita sarawagi","","multidimensional differences explaining aggregates","explaining differences in multidimensional aggregates","dblp_a_82","vldb","1999"
"kun-lung wu , philip s. yu , james z. teng , jen-yao chung","system management database","study workfile disk concurrent multiprocessor performance mergesorts","a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system","dblp_a_83","vldb","1995"
"david vaskevitch","database","crisis year technical agenda transition","database in crisis and transition : a technical agenda for the year 2001","dblp_a_84","sigmod conference","1994"
"amit p. sheth","","applications automation workflow technology research tutorial","workflow automation : applications , technology , and research ( tutorial )","dblp_a_85","sigmod conference","1995"
"krishna kant , prasant mohapatra","","sigmetrics servers paws performance web held workshop conjection architecture","workshop on performance and architecture of web servers ( paws-2000 , held in conjection with sigmetrics-2000 )","dblp_a_86","sigmod record","2000"
"rachel pottinger , alon y. levy","using","algorithm views answering scalable queries","a scalable algorithm for answering queries using views","dblp_a_87","vldb","2000"
"richard t. snodgrass","","like working academia","why i like working in academia","dblp_a_88","sigmod record","2002"
"dimitrios gunopulos , aristides gionis , nick koudas","","tunable similar retrieval set efficient","efficient and tunable similar set retrieval","dblp_a_89","sigmod conference","2001"
"mahesh v. soundalgekar , soumen chakrabarti , shourya roy","","multiple projections via accurate fast classification linear text discriminant","fast and accurate text classification via multiple linear discriminant projections","dblp_a_90","vldb","2002"
"meichun hsu , rivka ladin , umeshwar dayal","","art trends process open state issues coordination business","business process coordination : state of the art , trends , and open issues","dblp_a_91","vldb","2001"
"geoffrey c. bowker","information","work biodiversity practices sciences","work and information practices in the sciences of biodiversity","dblp_a_92","vldb","2000"
"simon j. gibbs , christian breiteneder , dennis tsichritzis","data based","time media modeling","data modeling of time-based media","dblp_a_93","sigmod conference","1994"
"s. sudarshan , divesh srivastava , raghu ramakrishnan , jeffrey f. naughton","databases","deductive optimization space","space optimization in deductive databases","dblp_a_94","acm trans . database syst .","1995"
"richard t. snodgrass","","chair message","chair 's message","dblp_a_95","sigmod record","2000"
"rafael alonso","","press news preface announcement trade","trade press news - announcement and preface","dblp_a_96","sigmod record","1994"
"shimin chen , todd c. mowry , phillip b. gibbons","","performance prefetching index improving","improving index performance through prefetching","dblp_a_97","sigmod conference","2001"
"xiaolei qian","","programs new darpa nsf","new programs at darpa and nsf","dblp_a_98","sigmod record","1996"
"alexandra poulovassilis , carol small","database","query optimisation investigation algebraic programming languages techniques","investigation of algebraic query optimisation techniques for database programming languages","dblp_a_99","vldb","1994"
"lucian popa , alin deutsch , val tannen","data","universal physical plans constraints optimization independence","physical data independence , constraints , and optimization with universal plans","dblp_a_100","vldb","1999"
"daniel s. weld , alon y. levy , marc friedman , zachary g. ives , daniela florescu","system data","integration adaptive query execution","an adaptive query execution system for data integration","dblp_a_101","sigmod conference","1999"
"pierre-paul sondag","","way society paving knowledge web semantic","the semantic web paving the way to the knowledge society","dblp_a_102","vldb","2001"
"rakesh agrawal , john c. shafer","data","applications high parallel mining similarity joins algorithms dimensional","parallel algorithms for high-dimensional similarity joins for data mining applications","dblp_a_103","vldb","1997"
"yanlei diao , hao zhang , peter m. fischer , michael j. franklin , mehmet altinel","","evaluation high path predicate performance xml sharing filtering","path sharing and predicate evaluation for high-performance xml filtering","dblp_a_104","acm trans . database syst .","2003"
"sumit ganguly , minos n. garofalakis , rajeev rastogi","","streams expressions processing update set continuous","processing set expressions over continuous update streams","dblp_a_105","sigmod conference","2003"
"theodore johnson","","measurements performance compressed bitmap indices","performance measurements of compressed bitmap indices","dblp_a_106","vldb","1999"
"chee yong chan , yannis e. ioannidis","","prefix sum queries hierarchical range cubes","hierarchical prefix cubes for range-sum queries","dblp_a_107","vldb","1999"
"åsa hagström , duminda wijesekera , francesco parisi-presicce , sushil jajodia","","removing permissions framework flexible authorization","removing permissions in the flexible authorization framework","dblp_a_108","acm trans . database syst .","2003"
"ion muslea , greg barish , andrew philpot , craig a. knoblock , steven minton , josé luis ambite , pragnesh jay modi , sheila tejada , naveen ashish","system","mediators constructing internet sources ariadne","ariadne : a system for constructing mediators for internet sources","dblp_a_109","sigmod conference","1998"
"dimitris papadias , nikos mamoulis","","spatial joins multiway","multiway spatial joins","dblp_a_110","acm trans . database syst .","2001"
"anand rajaraman , jeffrey d. ullman , venky harinarayan","data","implementing cubes efficiently","implementing data cubes efficiently","dblp_a_111","sigmod conference","1996"
"nelson mendonça mattos , linda g. demichiel","","recent design trade offs","recent design trade-offs in sql3","dblp_a_112","sigmod record","1994"
"andrew eisenberg , jim melton","using","part sql sqlj java language routines programming","sqlj-part 1 : sql routines using the java programming language","dblp_a_113","sigmod record","1999"
"alberto o. mendelzon , davood rafiei","data based","similarity time series queries","similarity-based queries for time series data","dblp_a_114","sigmod conference","1997"
"alistair n. dunlop , jasmin l. wason , denis a. nicole , mark papiani","using data","sql scientific xml distributed web med archive","a distributed scientific data archive using the web , xml and sql/med","dblp_a_115","sigmod record","1999"
"katja tham , axel kilian , dieter merkel , peter rieger , stephan heymann , gunnar wegner , johann christoph freytag","data","viator tool creation graphical networking view family","viator - a tool family for graphical networking and data view creation","dblp_a_116","vldb","2002"
"h. v. jagadish","information","warfare review book security","information warfare and security - book review","dblp_a_117","sigmod record","2001"
"kjetil nørvåg","systems database","persistent indexing improving object oriented oid temporal cache","the persistent cache : improving oid indexing in temporal object-oriented database systems","dblp_a_118","vldb","1999"
"christos faloutsos , alberto belussi","using","spatial fractal queries selectivity dimension estimating correlation","estimating the selectivity of spatial queries using the ` correlation ' fractal dimension","dblp_a_119","vldb","1995"
"dennis mcleod , goksel aslan","databases","implantation stepwise metadata semantic heterogeneity resolution evolution federated","semantic heterogeneity resolution in federated databases by metadata implantation and stepwise evolution","dblp_a_120","vldb j.","1999"
"chim-fu yeung , kam-yiu lam , sheung-lun hung","","evaluation detection deadlock new performance distributed algorithm","performance evaluation of a new distributed deadlock detection algorithm","dblp_a_121","sigmod record","1994"
"jan-eike michels , jim melton , krishna g. kulkarni , peter m. schwarz , kathy zeidenstein , vanja josifovski","management data","external sql","sql and management of external data","dblp_a_122","sigmod record","2001"
"alberto lerner , dennis shasha","data","experiments query ordered language techniques optimization aquery","aquery : query language for ordered data , optimization techniques , and experiments","dblp_a_123","vldb","2003"
"banu özden , minos n. garofalakis , abraham silberschatz","databases","scheduling pay media view resource per enhanced continuous","resource scheduling in enhanced pay-per-view continuous media databases","dblp_a_124","vldb","1997"
"yixin ruan , zhiyong huang , kian-lee tan , jason chionh , lidan shou","system","walkthrough time review real virtual","review : a real time virtual walkthrough system","dblp_a_125","sigmod conference","2001"
"norman s. matloff , patrick tendick","database","modified method security perturbation random","a modified random perturbation method for database security","dblp_a_126","acm trans . database syst .","1994"
"dan suciu","data","managing web","managing web data","dblp_a_127","sigmod conference","1999"
"vijay v. raghavan","data","various warehouse parallel across architectures loading","loading the data warehouse across various parallel architectures","dblp_a_128","vldb","1996"
"qing li , kamalakar karlapalem , chung-dak shum","database","framework hodfa heterogeneous homogenizing architectural legacy","hodfa : an architectural framework for homogenizing heterogeneous legacy database","dblp_a_129","sigmod record","1995"
"philippe bonnet , dennis shasha","database","experiments principles techniques troubleshooting tuning","database tuning : principles , experiments , and troubleshooting techniques","dblp_a_130","vldb","2002"
"jeffrey f. naughton , minos n. garofalakis , kenneth a. ross","","influential papers reminiscences","reminiscences an influential papers","dblp_a_131","sigmod record","2003"
"jian zhang","system database","application oodb dictionary techniques sgml electronic text","application of oodb and sgml techniques in text database : an electronic dictionary system","dblp_a_132","sigmod record","1995"
"johannes klein , richard pledereder , gray clossman , brian becker , phil shaw , mark hapner","databases","relational tutorial java sqlj","java and relational databases : sqlj ( tutorial )","dblp_a_133","sigmod conference","1998"
"raghav kaushik , henry f. korth , jeffrey f. naughton , philip bohannon","","indexes path covering branching queries","covering indexes for branching path queries","dblp_a_134","sigmod conference","2002"
"wen-syan li , chris clifton","system databases","integration prototype semint heterogeneous semantic","semint : a system prototype for semantic integration in heterogeneous databases","dblp_a_135","sigmod conference","1995"
"alexandros labrinidis , alberto o. mendelzon","","enhancing online sigmod services career","career-enhancing services at sigmod online","dblp_a_136","sigmod record","2001"
"krithi ramamritham , jayant r. haritsa , ramesh gupta","systems database","processing revisiting distributed commit","revisiting commit processing in distributed database systems","dblp_a_137","sigmod conference","1997"
"suad alagic","systems","type odmg checking oql queries","type-checking oql queries in the odmg type systems","dblp_a_138","acm trans . database syst .","1999"
"rob golding","","replication update customer know things every","things every update replication customer should know","dblp_a_139","sigmod conference","1995"
"björn þór jónsson","","r hjaltason memory gísli","in memory of gísli r. hjaltason","dblp_a_140","sigmod record","2003"
"inderpal singh mumick , alon y. levy , yehoshua sagiv","","predicate optimization query around move","query optimization by predicate move-around","dblp_a_141","vldb","1994"
"jaewoo kang , dan suciu , alon y. levy , daniela florescu , mary f. fernandez","system management","experiences boat site web strudel catching","catching the boat with strudel : experiences with a web-site management system","dblp_a_142","sigmod conference","1998"
"christian s. jensen , richard t. snodgrass , giedrius slivinskas","","evaluation query adaptable temporal optimization middleware","adaptable query optimization and evaluation in temporal middleware","dblp_a_143","sigmod conference","2001"
"raghu ramakrishnan , miron livny , tian zhang","databases data","method clustering birch large efficient","birch : an efficient data clustering method for very large databases","dblp_a_144","sigmod conference","1996"
"dimitris papadias , yufei tao","databases","time temporal parameterized spatio queries","time-parameterized queries in spatio-temporal databases","dblp_a_145","sigmod conference","2002"
"eui-hong han , vipin kumar , george karypis","data","association parallel mining scalable rules","scalable parallel data mining for association rules","dblp_a_146","sigmod conference","1997"
"jennifer widom , elena baralis","database","analysis algebraic active rules approach static","an algebraic approach to static analysis of active database rules","dblp_a_147","acm trans . database syst .","2000"
"sorana rabinovici , john catozzi","data","teradata unix base support enhancements vldbs os","os support for vldbs : unix enhancements for the teradata data base","dblp_a_148","vldb","1995"
"yannis kotidis , yannis sismanis , antonios deligiannakis , nick roussopoulos","","petacube shrinking dwarf","dwarf : shrinking the petacube","dblp_a_149","sigmod conference","2002"
"dao-i lin , peter piatko , roman yangarber , dennis shasha","","complex tool tailoring documents thinksheet","thinksheet : a tool for tailoring complex documents","dblp_a_150","sigmod conference","1996"
"betty salzberg , chendong zou","","line sparsely reorganization trees populated b","on-line reorganization of sparsely-populated b + trees","dblp_a_151","sigmod conference","1996"
"andreas weininger","databases","handling extended parallel large server informix","handling very large databases with informix extended parallel server","dblp_a_152","sigmod conference","2000"
"surajit chaudhuri , kyuseok shim","","including optimization query group","including group-by in query optimization","dblp_a_153","vldb","1994"
"azer bestavros , spyridon braoudakis","","value control cognizant speculative concurrency","value-cognizant speculative concurrency control","dblp_a_154","vldb","1995"
"james geller","data","practical review book tools mining techniques machine learning","data mining : practical machine learning tools and techniques - book review","dblp_a_155","sigmod record","2002"
"dan suciu , maurizio lenzerini , daniele nardi , werner nutt","databases","krdb representation knowledge report meets international workshop","report on the 8th international workshop on knowledge representation meets databases ( krdb )","dblp_a_156","sigmod record","2001"
"hector garcia-molina , luis gravano , kevin chen-chuan chang , andreas paepcke","","starts experience proposal paper stanford searching meta internet","starts : stanford proposal for internet meta-searching ( experience paper )","dblp_a_157","sigmod conference","1997"
"hans-peter kriegel , stefan berchtold , daniel a. keim","data","x high structure index tree dimensional","the x-tree : an index structure for high-dimensional data","dblp_a_158","vldb","1996"
"rohit ananthakrishna , venkatesh ganti , surajit chaudhuri","data","fuzzy duplicates eliminating warehouses","eliminating fuzzy duplicates in data warehouses","dblp_a_159","vldb","2002"
"michael j. franklin , surajit chaudhuri , alejandro p. buchmann , gerhard weikum , daniel a. keim , martin l. kersten","databases database","striptease personal manage","a database striptease or how to manage your personal databases","dblp_a_160","vldb","2003"
"yildiray kabak , gokce laleci , sait pektas , serkan toprak , yusuf tambag , gokhan kurt , asuman dogac , pinar pembecioglu","","pips rosettanet implementation registries uddi infrastructure ebxml","an ebxml infrastructure implementation through uddi registries and rosettanet pips","dblp_a_161","sigmod conference","2002"
"michael h. böhlen","system database","temporal implementations","temporal database system implementations","dblp_a_162","sigmod record","1995"
"yaron kanza , yehoshua sagiv , sara cohen , jonathan mamou","","xml search engine xsearch semantic","xsearch : a semantic search engine for xml","dblp_a_163","vldb","2003"
"miron livny , eben m. haber , yannis e. ioannidis","management","opossum desk customizable schema top visualization","opossum : desk-top schema management through customizable visualization","dblp_a_164","vldb","1995"
"hans-jörg schek , gustavo alonso , heiko schuldt , catriel beeri","","isolation atomicity transactional processes","atomicity and isolation for transactional processes","dblp_a_165","acm trans . database syst .","2002"
"david b. lomet , mark r. tuttle","","recovery extend new logging domains logical","logical logging to extend recovery to new domains","dblp_a_166","sigmod conference","1999"
"jacek skowronek , maurice van keulen , jan flokstra","based database","specification formal impress ddt design toolbox language","the impress ddt : a database design toolbox based on a formal specification language","dblp_a_167","sigmod conference","1994"
"helen j. wang , peter j. haas , joseph m. hellerstein","","online aggregation","online aggregation","dblp_a_168","sigmod conference","1997"
"artur klauser , alexander l. wolf , benjamin g. zorn , jonathan e. cook","databases","automatic garbage self control semi object collection adaptive rates","semi-automatic , self-adaptive control of garbage collection rates in object databases","dblp_a_169","sigmod conference","1996"
"ted mihalisin","","analysis interactive engine single pass vldbs computing","a single pass computing engine for interactive analysis of vldbs","dblp_a_170","vldb","1998"
"zenon protopapas , christos faloutsos , eliot siegel , flip korn , nikolaos sidiropoulos","databases","nearest fast image neighbor search medical","fast nearest neighbor search in medical image databases","dblp_a_171","vldb","1996"
"amit p. sheth , wolfgang klas","","media digital metadata introduction special issue","metadata for digital media : introduction to the special issue","dblp_a_172","sigmod record","1994"
"hugh darwen","","religious relations domains reply wars","in reply to domains , relations and religious wars","dblp_a_173","sigmod record","1996"
"mark jahnke , felipe cariño","information","america study bank advantage case currency","bank of america case study : the information currency advantage","dblp_a_174","vldb","1998"
"divesh srivastava , sungran cho , laks v. s. lakshmanan , sihem amer-yahia","","tree pattern query minimization","tree pattern query minimization","dblp_a_175","vldb j.","2002"
"michael j. carey , markos zaharioudakis , michael j. franklin","","page fine sharing grained server oodbms","fine-grained sharing in a page server oodbms","dblp_a_176","sigmod conference","1994"
"timothy j. norman , nicholas r. jennings , peyman faratin","management based","business approach agent adept process","adept : an agent-based approach to business process management","dblp_a_177","sigmod record","1998"
"alexandros labrinidis","","forum introduction career column","introduction to the career forum column","dblp_a_178","sigmod record","2001"
"kheng guan goh , wynne hsu , mong-li lee","system information","mining retinal image iris integrated","image mining in iris : integrated retinal information system","dblp_a_179","sigmod conference","2000"
"wesley p. melling","information","architectures changing enterprise finally","enterprise information architectures -- they 're finally changing","dblp_a_180","sigmod conference","1994"
"nelson mendonça mattos","information","integrating computing demand","integrating information for on demand computing","dblp_a_181","vldb","2003"
"anne doucet , véronique benzaken","database","handling thémis language programming integrity constraints","thémis : a database programming language handling integrity constraints","dblp_a_182","vldb j.","1995"
"kotagiri ramamohanarao , james harland","systems database","deductive introduction languages","an introduction to deductive database languages and systems","dblp_a_183","vldb j.","1994"
"suryanarayana m. sripada","management information","industry aerospace challenges","information management challenges from the aerospace industry","dblp_a_184","vldb","2002"
"c. mohan","management","products research state art workflow","state of the art in workflow management research and products","dblp_a_185","sigmod conference","1996"
"amit p. sheth , kshitij shah , clemens bertram","system","assets managing distributed videoanywhere searching video","videoanywhere : a system for searching and managing distributed video assets","dblp_a_186","sigmod record","1999"
"roger s. barga , david b. lomet","","phoenix applications tolerant fault project","phoenix project : fault-tolerant applications","dblp_a_187","sigmod record","2002"
