"authors","frequent_part_title","infrequent_part_title","title","uri","venue","year"
"hasan davulcu , juliana freire , michael kifer , i. v. ramakrishnan","","architecture querying content layered web dynamic","a layered architecture for querying dynamic web content","acm_59","international conference on management of data","1999"
"jamie callan , margaret connell , aiqun du","databases","language automatic models discovery text","automatic discovery of language models for text databases","acm_60","international conference on management of data","1999"
"d. w. embley , y. jiang , y.-k . ng","","discovery boundary web record documents","record-boundary discovery in web documents","acm_61","international conference on management of data","1999"
"yannis papakonstantinou , vasilis vassalos","data","semistructured query rewriting","query rewriting for semistructured data","acm_62","international conference on management of data","1999"
"ramana yerneni , chen li , hector garcia-molina , jeffrey ullman","","computing capabilities mediators","computing capabilities of mediators","acm_63","international conference on management of data","1999"
"david b. lomet","using","high speed log line operations logical backup","high speed on-line backup when using logical log operations","acm_64","international conference on management of data","2000"
"wilburt juan labio , janet l. wiener , hector garcia-molina , vlad gorelik","","loads interrupted warehouse resumption efficient","efficient resumption of interrupted warehouse loads","acm_65","international conference on management of data","2000"
"mohana k. lakhamraju , rajeev rastogi , s. seshadri , s. sudarshan","databases","reorganization line object","on-line reorganization in object databases","acm_66","international conference on management of data","2000"
"charu c. aggarwal , philip s. yu","","high clusters spaces finding generalized dimensional projected","finding generalized projected clusters in high dimensional spaces","acm_67","international conference on management of data","2000"
"christopher r. palmer , christos faloutsos","data","method mining density biased improved sampling clustering","density biased sampling : an improved method for data mining and clustering","acm_68","international conference on management of data","2000"
"markus m. breunig , hans-peter kriegel , raymond t. ng , j &#246; rg sander","based","local lof density identifying outliers","lof : identifying density-based local outliers","acm_69","international conference on management of data","2000"
"markos zaharioudakis , roberta cochrane , george lapis , hamid pirahesh , monica urata","using","automatic tables summary sql queries answering complex","answering complex sql queries using automatic summary tables","acm_70","international conference on management of data","2000"
"junghoo cho , hector garcia-molina","database","freshness synchronizing improve","synchronizing a database to improve freshness","acm_71","international conference on management of data","2000"
"kenneth salem , kevin beyer , bruce lindsay , roberta cochrane","","asynchronous roll incremental join view maintenance","how to roll a join : asynchronous incremental view maintenance","acm_72","international conference on management of data","2000"
"vassilis christophides , sophie cluet , j &#233; r &#466; me sim &#232; on","","integration query efficient xml languages wrapping","on wrapping query languages and efficient xml integration","acm_73","international conference on management of data","2000"
"hartmut liefke , dan suciu","data","compressor xml xmill efficient","xmill : an efficient compressor for xml data","acm_74","international conference on management of data","2000"
"minos garofalakis , aristides gionis , rajeev rastogi , s. seshadri , kyuseok shim","system","type xtract xml document documents descriptors extracting","xtract : a system for extracting document type descriptors from xml documents","acm_75","international conference on management of data","2000"
"christos faloutsos , bernhard seeger , agma traina , caetano traina , jr.","using","spatial join selectivity power laws","spatial join selectivity using power laws","acm_76","international conference on management of data","2000"
"manuel rodr &#237; guez-mart &#237; nez , nick roussopoulos","system data database","extensible self sources distributed mocha middleware","mocha : a self-extensible database middleware system for distributed data sources","acm_77","international conference on management of data","2000"
"antonio corral , yannis manolopoulos , yannis theodoridis , michael vassilakopoulos","databases","spatial closest pair queries","closest pair queries in spatial databases","acm_78","international conference on management of data","2000"
"flip korn , s. muthukrishnan","based","sets nearest queries influence neighbor reverse","influence sets based on reverse nearest neighbor queries","acm_79","international conference on management of data","2000"
"krishnamurty muralidhar , rathindra sarathy","data","random methods perturbation security","security of random data perturbation methods","acm_80","acm transactions on database systems ( tods )","1999"
"debabrata dey , veda c. storey , terence m. barron","database","design relationships improving analysis","improving database design through the analysis of relationships","acm_81","acm transactions on database systems ( tods )","1999"
"tak w. yan , hector garcia-molina","system information","sift dissemination","the sift information dissemination system","acm_82","acm transactions on database systems ( tods )","1999"
"yair wand , veda c. storey , ron weber","","analysis construct conceptual relationship ontological modeling","an ontological analysis of the relationship construct in conceptual modeling","acm_83","acm transactions on database systems ( tods )","1999"
"andrew frank , stephane grumbach , ralf hartmut g &#252; ting , christian s. jensen , manolis koubarakis , nikos lorentzos , yannis manolopoulos , enrico nardelli , barbara pernici , hans-j &#246; rg schek , michel scholl , timos sellis , babis theodoulidis , peter widmayer","systems database","chorochronos spatiotemporal network research","chorochronos : a research network for spatiotemporal database systems","acm_84","acm sigmod record","1999"
"s. conrad , w. hasselbring , u. hohenstein , r.-d . kutsche , m. roantree , g. saake , f. saltor","information systems","workshop eefis report federated engineering","engineering federated information systems : report of eefis '99 workshop","acm_85","acm sigmod record","1999"
"arnon rosenthal , edward sciore","","first centered key class user computing views","first-class views : a key to user-centered computing","acm_86","acm sigmod record","1999"
"jihad boulos , kinji ono","systems database","cost estimation methods object relational defined user","cost estimation of user-defined methods in object-relational database systems","acm_87","acm sigmod record","1999"
"prabhu ram , lyman do , pamela drew","","transactions distributed practice","distributed transactions in practice","acm_88","acm sigmod record","1999"
"stanley m. t. yau , hong va leong , dennis mcleod , antonio si","","transmission document web mutli resolution mobile","on mutli-resolution document transmission in mobile web","acm_89","acm sigmod record","1999"
"ruxandra domenig , klaus r. dittrich","systems","mediated classification overview query","an overview and classification of mediated query systems","acm_90","acm sigmod record","1999"
"mark papiani , jasmin l. wason , alistair n. dunlop , denis a. nicole","using data","sql scientific xml distributed web med archive","a distributed scientific data archive using the web , xml and sql/med","acm_91","acm sigmod record","1999"
"jiawei han , jian pei , yiwen yin","","generation frequent mining candidate without patterns","mining frequent patterns without candidate generation","acm_92","international conference on management of data","2000"
"le gruenwald , leonard brown , ravi dirckze , sylvain guinepain , carlos sanchez , brian summers , sirirut vanichayobon","database","oklahoma university research","database research at the university of oklahoma","acm_93","acm sigmod record","1999"
"pradeep shenoy , jayant r. haritsa , s. sundarshan , gaurav bhalotia , mayank bawa , devavrat shah","databases","large mining vertical turbo charging","turbo-charging vertical mining of large databases","acm_94","international conference on management of data","2000"
"erik riedel , christos faloutsos , gregory r. ganger , david f. nagle","system data","oltp mining nearly free","data mining on an oltp system ( nearly ) for free","acm_95","international conference on management of data","2000"
"joseph kuan , paul lewis","data","study hg search point trees","a study on data point search for hg-trees","acm_96","acm sigmod record","1999"
"mark roantree , john murphy , wilhelm hasselbring","","oasis prototype multidatabase","the oasis multidatabase prototype","acm_97","acm sigmod record","1999"
"m &#225; rcio farias de souza , marcus costa sampaio","data","use views materialization warehouses efficient","efficient materialization and use of views in data warehouses","acm_98","acm sigmod record","1999"
"stefano ceri , piero fraternali , stefano paraboschi","data","design intensive sites principles web","design principles for data-intensive web sites","acm_99","acm sigmod record","1999"
"andrew eisenberg , jim melton","","known sql formerly","sql : 1999 , formerly known as sql3","acm_100","acm sigmod record","1999"
"anindya datta , debra e. vandermeer , aslihan celik , vijay kumar","databases","efficient support retrieval protocols users broadcast mobile","broadcast protocols to support efficient retrieval from databases by mobile users","acm_101","acm transactions on database systems ( tods )","1999"
"amit sheth , clemens bertram , kshitij shah","system","assets managing anywhere heterogeneous distributed searching video","video anywhere : a system for searching and managing distributed heterogeneous video assets","acm_102","acm sigmod record","1999"
"mike carey , len seligman","systems database","academic cooperation industrial workshop nsf","nsf workshop on industrial/academic cooperation in database systems","acm_103","acm sigmod record","1999"
"surajit chaudhuri , kyuseok shim","","defined predicates optimization user queries","optimization of queries with user-defined predicates","acm_104","acm transactions on database systems ( tods )","1999"
"luis gravano , h &#233; ctor garc &#237; a-molina , anthony tomasic","","gloss text internet discovery source","gloss : text-source discovery over the internet","acm_105","acm transactions on database systems ( tods )","1999"
"mark levene , george loizou","database","design incomplete relations","database design for incomplete relations","acm_106","acm transactions on database systems ( tods )","1999"
"jef wijsen","","complex temporal objects fds","temporal fds on complex objects","acm_107","acm transactions on database systems ( tods )","1999"
"tolga bozkaya , meral ozsoyoglu","","queries indexing metric large search similarity spaces","indexing large metric spaces for similarity search queries","acm_108","acm transactions on database systems ( tods )","1999"
"fabio casati , stefano ceri , stefano paraboschi , guiseppe pozzi","management systems","specification implementation exceptions workflow","specification and implementation of exceptions in workflow management systems","acm_109","acm transactions on database systems ( tods )","1999"
"g &#237; sli r. hjaltason , hanan samet","databases","spatial browsing distance","distance browsing in spatial databases","acm_110","acm transactions on database systems ( tods )","1999"
"suad alag &#237; c","systems","type odmg checking oql queries","type-checking oql queries in the odmg type systems","acm_111","acm transactions on database systems ( tods )","1999"
"david ritter","","middleware muddle","the middleware muddle","acm_112","acm sigmod record","1998"
"phil bernstein , michael brodie , stefano ceri , david dewitt , mike franklin , hector garcia-molina , jim gray , jerry held , joe hellerstein , h. v. jagadish , michael lesk , dave maier , jeff naughton , hamid pirahesh , mike stonebraker , jeff ullman","database","asilomar report research","the asilomar report on database research","acm_113","acm sigmod record","1998"
"michael christoffel , sebastian pulkowski , bethina schmitt , peter c. lockemann","information","jungle libraries roadmap market electronic university survive members","electronic market : the roadmap for university libraries and members to survive in the information jungle","acm_114","acm sigmod record","1998"
"josep domingo-ferrer , jordi herrera-joancomart &#237;","","commerce line anonymous scheme electronic agents untrusted authority","an anonymous electronic commerce scheme with an off-line authority and untrusted agents","acm_115","acm sigmod record","1998"
"e. forte , f. haenni , k. warkentyne , e. duval , k. cardinaels , e. vervaet , k. hendrikx , m. wentland forte , f. simillion","","repository pedagogic educational mechanisms semantic interoperability ariadne","semantic and pedagogic interoperability mechanisms in the ariadne educational repository","acm_116","acm sigmod record","1999"
"d. scott mackay","information systems","integration application decision semantic global environmental making models","semantic integration of environmental models for application to global information systems and decision-making","acm_117","acm sigmod record","1999"
"a. m. ouksel , a. sheth","information systems","interoperability global semantic","semantic interoperability in global information systems","acm_118","acm sigmod record","1999"
"andrew eisenberg , jim melton","","part sql sqlj object language bindings olb known","sqlj part 0 , now known as sql/olb ( object-language bindings )","acm_119","acm sigmod record","1998"
"katia sycara , matthias klusch , seth widoff , jianguo lu","information","environments among open matchmaking agents service dynamic","dynamic service matchmaking among agents in open information environments","acm_120","acm sigmod record","1999"
"m. p. papazoglou , j. hoppenbrouwers","information","libraries contextualizing digital space federated","contextualizing the information space in federated digital libraries","acm_121","acm sigmod record","1999"
"arun hampapur","","indexing issues approach video semantic","semantic video indexing : approach and issues","acm_122","acm sigmod record","1999"
"ken smith , leo obrst","information systems","scale semantics reconciliation large semantic perform usage unpacking source","unpacking the semantics of source and usage to perform semantic reconciliation in large-scale information systems","acm_123","acm sigmod record","1999"
"mario a. nascimento , claudia bauzer medeiros","systems database","sbbd symposium report brazilian","report on the 13th brazilian symposium on database systems ( sbbd ' 98 )","acm_124","acm sigmod record","1999"
"avigdor gal","information","experiencing interoperability services coopware semantic","semantic interoperability in information services : experiencing with coopware","acm_125","acm sigmod record","1999"
"jerry fowler , brad perry , marian nodine , bruce bargmeyer","based","infosleuth interoperability agent semantic","agent-based semantic interoperability in infosleuth","acm_126","acm sigmod record","1999"
"s. bergamaschi , s. castano , m. vincini","data","semistructured integration structured sources semantic","semantic integration of semistructured and structured data sources","acm_127","acm sigmod record","1999"
"robert s. epstein","","keynote address","keynote address","acm_128","international conference on management of data","1995"
"larry j. ellison","","keynote address","keynote address","acm_129","international conference on management of data","1995"
"zahir tari , john stokes , stefano spaccapietra","","schemata forms dependency normal object oriented constraints","object normal forms and dependency constraints for object-oriented schemata","acm_130","acm transactions on database systems ( tods )","1997"
"veda c. storey , roger h. l. chiang , debabrata dey , robert c. goldstein , shankar sudaresan","database","common design reasoning sense business learning","database design with common sense business reasoning and learning","acm_131","acm transactions on database systems ( tods )","1997"
"justin zobel , alistair moffat , kotagiri ramamohanarao","","files versus indexing signature inverted text","inverted files versus signature files for text indexing","acm_132","acm transactions on database systems ( tods )","1998"
"sharad mehrotra , rajeev rastogi , henry f. korth , abraham silberschatz","","multidatabases serializability preserving ensuring two consistency level","ensuring consistency in multidatabases by preserving two-level serializability","acm_133","acm transactions on database systems ( tods )","1998"
"a. prasad sistla , ouri wolfson , yelena yesha , robert sloan","management","cost commerce digital towards theory libraries electronic","towards a theory of cost management for digital libraries and electronic commerce","acm_134","acm transactions on database systems ( tods )","1998"
"david konopnicki , oded shmueli","system information","gathering query world language web wide","information gathering in the world-wide web : the w3ql query language and the w3qs system","acm_135","acm transactions on database systems ( tods )","1998"
"jing chen , limsoon wong , louxin zhang","system","protein query powered patent kleisli","a protein patent query system powered by kleisli","acm_136","international conference on management of data","1998"
"shaul dar , gadi entin , shai geva , eran palmon","database","exploration dataspot easy web browsing dtl","dtl 's dataspot : database exploration as easy as browsing the web ...","acm_137","international conference on management of data","1998"
"xiangning liu , abdelsalam helal , weimin du","","scale replication multiview protocols large access","multiview access protocols for large-scale replication","acm_138","acm transactions on database systems ( tods )","1998"
"joseph m. hellerstein","","methods optimization expensive techniques queries","optimization techniques for queries with expensive methods","acm_139","acm transactions on database systems ( tods )","1998"
"osmar r. za &#239; ane , jiawei han , ze-nian li , sonny h. chee , jenny y. chiang","system data","mining multimedia prototype multimediaminer","multimediaminer : a system prototype for multimedia data mining","acm_140","international conference on management of data","1998"
"jang ho park , yong sik kwon , ki hong kim , sang ho lee , byoung dae park , sang kyun cha","system","applications high memory extensible storage performance xmas main","xmas : an extensible main-memory storage system for high-performance applications","acm_141","international conference on management of data","1998"
"stefano ceri , piero fraternali , stefano paraboschi","","web lab idea","the idea web lab","acm_142","international conference on management of data","1998"
"motomichi toyama","database","extended sql presentation supersql publishing","supersql : an extended sql for database publishing and presentation","acm_143","international conference on management of data","1998"
"ron avnur , joseph m. hellerstein , bruce lo , chris olston , bhaskaran raman , vijayshankar raman , tali roth , kirk wylie","","line control technology output navigation refinement continuous","control : continuous output and navigation technology with refinement on-line","acm_144","international conference on management of data","1998"
"marcel kornacker , mehul shah , joseph m. hellerstein","","tool amdb method debugging access","amdb : an access method debugging tool","acm_145","international conference on management of data","1998"
"zo &#233; lacroix , arnaud sahuguet , raman chandrasekar","","get oriented web seek user cache smart","user-oriented smart-cache for the web : what you seek is what you get !","acm_146","international conference on management of data","1998"
"p. baumann , a. dehmel , p. furtado , r. ritsch , n. widmann","system database","multidimensional rasdaman","the multidimensional database system rasdaman","acm_147","international conference on management of data","1998"
"bartek kiepuszewski , ralf muhlberger , maria e. orlowska","management systems","backward flowback recovery providing workflow","flowback : providing backward recovery for workflow management systems","acm_148","international conference on management of data","1998"
"william w. cohen","using based database","like textual providing queries web similarity access","providing database-like access to the web using queries based on textual similarity","acm_149","international conference on management of data","1998"
"jos &#233; luis ambite , naveen ashish , greg barish , craig a. knoblock , steven minton , pragnesh j. modi , ion muslea , andrew philpot , sheila tejada","system","mediators constructing internet sources ariadne","ariadne : a system for constructing mediators for internet sources","acm_150","international conference on management of data","1998"
"chen li , ramana yerneni , vasilis vassalos , hector garcia-molina , yannis papakonstantinou , jeffrey ullman , murty valiveti","based","tsimmis capability mediation","capability based mediation in tsimmis","acm_151","international conference on management of data","1998"
"g. mecca , p. atzeni , a. masci , g. sindoni , p. merialdo","system management based","araneus web","the araneus web-based management system","acm_152","international conference on management of data","1998"
"ling liu , calton pu , wei tang , david buttler , john biggs , tong zhou , paul benninghoff , wei han , fenghua yu","","personalized toolkit update monitoring cq","cq : a personalized update monitoring toolkit","acm_153","international conference on management of data","1998"
"chris olston , allison woodruff , alexander aiken , michael chu , vuk ercegovac , mark lin , mybrid spalding , michael stonebraker","","datasplash","datasplash","acm_154","international conference on management of data","1998"
"surajit chaudhuri , vivek narasayya","","sql wizard index microsoft server turning","microsoft index turning wizard for sql server 7.0","acm_155","international conference on management of data","1998"
"edwin r. lassettre","data","records olympic nagano games","olympic records for data at the 1998 nagano games","acm_156","international conference on management of data","1998"
"eric a. brewer","","high delivering availability engines inktomi search","delivering high availability for inktomi search engines","acm_157","international conference on management of data","1998"
"sherri kennamer","management data","scale high com transaction microsoft processing solution","microsoft.com : a high-scale data management and transaction processing solution","acm_158","international conference on management of data","1998"
"bin li , dennis shasha","data","parallel mining free","free parallel data mining","acm_159","international conference on management of data","1998"
"james chong","","processing business real meets web","real business processing meets the web","acm_160","international conference on management of data","1998"
"john nauman , ray suorsa","","high read traffic site web developing","developing a high traffic , read-only web site","acm_161","international conference on management of data","1998"
"daniel s. whelan","management database","integrated issues document usage filenet","filenet integrated document management database usage and issues","acm_162","international conference on management of data","1998"
"kamar aulakh","system","media digital quark","about quark digital media system","acm_163","international conference on management of data","1998"
"tirthankar lahiri , ashok joshi , amit jasuja , sumanta chatterjee","database","universal server users","50,000 users on an oracle8 universal server database","acm_164","international conference on management of data","1998"
"richard anderson , gopalan arun , richard frank","","rdb oracle model record caching","oracle rdb 's record caching model","acm_165","international conference on management of data","1998"
"kiansing ng , huan liu , hweebong kwah","data","application port mining psa retention customer singapore authority","a data mining application : customer retention at the port of singapore authority ( psa )","acm_166","international conference on management of data","1998"
"arvola chan","database","proactive multicast subscribe changes abstract transactional publish","transactional publish/subscribe : the proactive multicast of database changes ( abstract )","acm_167","international conference on management of data","1998"
"satish ramakrishnan , vibha dayal","","pointcast abstract network","the pointcast network ( abstract )","acm_168","international conference on management of data","1998"
"michael franklin , stan zdonik","data","technology perspective push face","data in your face : push technology in perspective","acm_169","international conference on management of data","1998"
"peter spiro","","tuning self scalable servers ubiquitous","ubiquitous , self-tuning , scalable servers","acm_170","international conference on management of data","1998"
"c. gregory doherty","management systems database","","database systems management and oracle8","acm_171","international conference on management of data","1998"
"chris eaton","systems","large managing udb","managing large systems with db2 udb","acm_172","international conference on management of data","1998"
"berthold reinwald , hamid pirahesh","data","access sql open heterogeneous","sql open heterogeneous data access","acm_173","international conference on management of data","1998"
"seth white , rick cattell , shel finkelstein","data","access java enterprise platform","enterprise java platform data access","acm_174","international conference on management of data","1998"
"jos &#233; a. blakeley , michael j. pizzo","data","universal access platform microsoft","microsoft universal data access platform","acm_175","international conference on management of data","1998"
"gray clossman , phil shaw , mark hapner , johannes klein , richard pledereder , brian becker","databases","relational tutorial java sqlj","java and relational databases ( tutorial ) : sqlj","acm_176","international conference on management of data","1998"
"stefan berchtold , daniel a. keim","database","structures applications high support index tutorial next decade dimensional","high-dimensional index structures database support for next decade 's applications ( tutorial )","acm_177","international conference on management of data","1998"
"nabil r. adam , yelena yesha","","electronic commerce tutorial","electronic commerce : tutorial","acm_178","international conference on management of data","1998"
"alfons kemper , donald kossmann , florian matthes","system database","application r tutorial sap","sap r/3 ( tutorial ) : a database application system","acm_179","international conference on management of data","1998"
"michael stonebraker","","panel right working problems","are we working on the right problems ? ( panel )","acm_180","international conference on management of data","1998"
"john mylopoulos","systems database","generation semantics n work without next panel wo","next generation database systems wo n't work without semantics ! ( panel )","acm_181","international conference on management of data","1998"
"per - &#197; ke larson , goetz graefe","management","generation run sorting external memory","memory management during run generation in external sorting","acm_182","international conference on management of data","1998"
"todd anderson , yuri breitbart , henry f. korth , avishai wool","","exclusive replication mutually consistency practicality","replication , consistency , and practicality : are these mutually exclusive ?","acm_183","international conference on management of data","1998"
"yossi matias , jeffrey scott vitter , min wang","based","selectivity wavelet estimation histograms","wavelet-based histograms for selectivity estimation","acm_184","international conference on management of data","1998"
"david lomet , gerhard weikum","information systems","application transparent recovery efficient server client","efficient transparent application recovery in client-server information systems","acm_185","international conference on management of data","1998"
